Epoch 0 ,loss: 0.0690946479041
Epoch 1 ,loss: 0.0323671952251
Epoch 2 ,loss: 0.0171065985908
Epoch 3 ,loss: 0.00970278377985
Epoch 4 ,loss: 0.00731529149776
Epoch 5 ,loss: 0.00641320414212
Epoch 6 ,loss: 0.00573524577987
Epoch 7 ,loss: 0.00531193845617
Epoch 8 ,loss: 0.00472699247934
Epoch 9 ,loss: 0.00429750316485
Epoch 10 ,loss: 0.00400592108517
Epoch 11 ,loss: 0.00370750271692
Epoch 12 ,loss: 0.00349160742517
Epoch 13 ,loss: 0.00329209740656
Epoch 14 ,loss: 0.00312634417532
Epoch 15 ,loss: 0.00196256881346
Epoch 16 ,loss: 0.00162542083585
Epoch 17 ,loss: 0.00145881940176
Epoch 18 ,loss: 0.00134189441171
Epoch 19 ,loss: 0.00125426031008
Epoch 20 ,loss: 0.00118484611099
Epoch 21 ,loss: 0.00112762887495
Epoch 22 ,loss: 0.00107936162353
Epoch 23 ,loss: 0.00103863580264
Epoch 24 ,loss: 0.00100248698612
Epoch 25 ,loss: 0.00096990230542
Epoch 26 ,loss: 0.000941502380136
Epoch 27 ,loss: 0.000915758536709
Epoch 28 ,loss: 0.000894747551421
Epoch 29 ,loss: 0.000874230113923
Epoch 30 ,loss: 0.000855702357136
Epoch 31 ,loss: 0.000838697339876
Epoch 32 ,loss: 0.000822908780736
Epoch 33 ,loss: 0.000810826213396
Epoch 34 ,loss: 0.000799424746516
Epoch 35 ,loss: 0.000785391615467
Epoch 36 ,loss: 0.000777465985347
Epoch 37 ,loss: 0.000767183878993
Epoch 38 ,loss: 0.000759531645027
Epoch 39 ,loss: 0.000752456270729
Epoch 40 ,loss: 0.000745099748678
Epoch 41 ,loss: 0.000738734264874
Epoch 42 ,loss: 0.000732932956041
Epoch 43 ,loss: 0.000724893999681
Epoch 44 ,loss: 0.000719766245953
Epoch 45 ,loss: 0.000715812148235
Epoch 46 ,loss: 0.0007131508494
Epoch 47 ,loss: 0.000707261067138
Epoch 48 ,loss: 0.000706171641106
Epoch 49 ,loss: 0.000704542668431
Epoch 50 ,loss: 0.00069861013328
